algorithm,_max_time,_random_seed,_hms,crossover,temp_scale,steps,_hmcr,_par,_max_imp,problem_number,is_multi,test_percentage,val_percentage,_obj_1,_obj_2,hurdle,drop,pvalue_penalty,complexity_level,Keep_Fit,_max_characteristics,MP
sa,772000,38,0,0.425,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.5,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.05,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.125,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.2,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.275,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.35,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.425,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.5,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.05,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.125,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.2,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.275,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.35,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.425,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.5,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.05,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.125,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.2,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.275,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.35,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.425,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.5,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.05,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.125,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.2,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.275,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.35,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.425,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,38,0,0.5,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.05,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.125,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.2,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.275,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.35,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.425,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.5,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.05,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.125,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.2,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.275,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.35,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.425,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.5,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.05,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.125,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.2,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.275,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.35,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.425,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.5,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.05,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.125,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.2,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.275,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.35,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.425,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.5,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.05,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.125,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.2,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.275,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.35,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.425,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.5,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.05,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.125,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.2,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.275,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.35,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.425,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.5,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.05,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.125,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.2,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.275,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.35,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.425,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.5,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.05,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.125,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.2,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.275,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.35,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.425,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.5,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.05,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.125,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.2,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.275,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.35,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.425,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,39,0,0.5,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.05,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.125,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.2,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.275,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.35,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.425,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.5,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.05,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.125,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.2,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.275,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.35,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.425,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.5,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.05,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.125,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.2,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.275,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.35,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.425,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.5,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.05,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.125,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.2,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.275,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.35,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.425,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.5,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.05,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.125,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.2,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.275,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.35,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.425,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.5,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.05,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.125,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.2,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.275,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.35,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.425,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.5,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.05,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.125,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.2,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.275,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.35,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.425,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.5,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.05,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.125,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.2,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.275,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.35,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.425,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.5,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.05,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.125,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.2,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.275,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.35,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.425,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,40,0,0.5,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.05,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.125,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.2,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.275,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.35,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.425,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.5,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.05,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.125,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.2,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.275,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.35,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.425,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.5,0.95,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.05,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.125,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.2,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.275,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.35,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.425,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.5,0.95,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.05,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.125,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.2,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.275,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.35,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.425,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.5,0.975,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.05,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.125,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.2,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.275,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.35,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.425,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.5,0.975,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.05,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.125,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.2,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.275,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.35,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.425,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.5,0.975,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.05,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.125,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.2,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.275,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.35,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.425,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.5,0.99,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.05,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.125,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.2,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.275,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.35,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.425,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.5,0.99,5,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.05,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.125,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.2,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.275,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.35,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.425,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,41,0,0.5,0.99,10,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
sa,772000,42,0,0.05,0.95,2,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
